ein,name,street,city,state,zip,category,description,ntee_code,asset_amt,income_amt,revenue_amt
260710110,I Am International Inc,2870 Peachtree Rd Ste 236,Atlanta,GA,30305-2918,Religious,Religion-Related NEC,X99,,,
270287405,Well Being Project Inc,625 Piedmont Ave Ne,Atlanta,GA,30308-6200,Human Services,Personal Social Services,P50,2573,0,0
261899576,Mothers Of Professional Basketball Players Inc,1700 Doncaster Dr Ne,Atlanta,GA,30309-2608,Philanthropy,Public Foundations,T30,9657,27478,27478
261490435,Serenity Club Inc,699 Piedmont Ave,Atlanta,GA,30308-1400,Human Services,Centers to Support the Independence of Specific Populations,P80,0,0,0
264058353,Heery International Foundation Inc,999 Peachtree Street Ne,Atlanta,GA,30309-3915,Philanthropy,Private Grantmaking Foundations,T20,41750,14250,
263980631,Atlanta Chapter Of The Federal Bar Association Inc,1170 Peachtree St Ne Ste 100,Atlanta,GA,30309-7689,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,69604,38566,38566
264712062,Atlanta Youth Wind Symphony Foundation Inc,1230 Peachtree St Ne Ste 1500,Atlanta,GA,30309-3504,Philanthropy,Community Foundations,T31,0,0,0
261385661,Projectbootstraps Inc,2221 Peachtree Road Ne-D-141,Atlanta,GA,30309-1148,Human Services,Emergency Assistance,P60,0,0,0
260083502,Asian Pacific American Internal Revenue Employees,401 W Peachtree St Mail Stop 937-D,Atlanta,GA,30308-3510,Civil Rights,Intergroup & Race Relations,R30,0,0,0
261479187,St John Overcoming Church Ministeries,937 Sims St Sw,Atlanta,GA,30310-3019,Religious,Christianity,X20,,,
261565763,Providence Manor Development Corporation,1100 Peachtree St Ne Ste 2800,Atlanta,GA,30309-4528,Housing Shelter,Low-Income & Subsidized Rental Housing,L21,4688355,191353,191353
264696218,Pleasant Word Christian Center International,634 Whitehall St Sw,Atlanta,GA,30310-1922,Religious,Protestant,X21,,,
261237679,Islamic Council Of Georgia,567 Lee St Ste F,Atlanta,GA,30310-0000,Religious,Islam,X40,,,
262779496,Genesis Mission Inc,1229 Oakland Ter Sw,Atlanta,GA,30310-3951,Housing Shelter,Temporary Housing,L40,931,99510,99510
261252816,Be A King Lyfe Foundation Inc,1638 Laurens Way Sw,Atlanta,GA,30311-3718,Human Services,Financial Counseling,P51,3714,0,0
262048738,Georgia Life Links Inc,1544 Venetian Dr Sw,Atlanta,GA,30311-3550,Human Services,Human Services,P20,0,0,0
263936859,Georgia Trade Up Inc,501 Pulliam St,Atlanta,GA,30312-2755,Employment,Vocational Rehabilitation,J30,66226,100050,100050
263973827,Plywood People Inc,176 Carroll St Se,Atlanta,GA,30312-2304,Human Services,Human Services,P20,74908,503833,503833
260077795,Friends Of Mills Inc,515 John Wesley Dobbs Ave Ne,Atlanta,GA,30312-1329,Human Services,Senior Centers,P81,37202,67461,51220
263473766,Loving Arms Child Development Center Inc,469 Hill St Se,Atlanta,GA,30312-3020,Human Services,Child Day Care,P33,0,181563,181563
270000606,Georgia Avenue Community Ministry,645 Grant St Se,Atlanta,GA,30312-3146,Food,Food Banks & Pantries,K31,104567,1057239,1041958
262749721,Luckie Marietta Inc,300 Marietta St Nw Ste 304,Atlanta,GA,30313-1633,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,54767,127638,127638
260693191,21St Century Stem Foundation Inc,238 Walker St Sw Unit 21,Atlanta,GA,30313-1267,Religious,Christianity,X20,0,0,0
264230439,Lighthouse Community Development Corporation,47 Anderson Avenue Nw,Atlanta,GA,30314-0000,Human Services,Neighborhood Centers,P28,0,0,0
261596263,Jesus For Justice Poor Peoples Campaign Incorporated,1563 Jonesboro Rd Se,Atlanta,GA,30315-4042,Religious,Christianity,X20,0,0,0
262437234,Community Council Of Metropolitan Atlanta,80 Walnut St Suite 103,Atlanta,GA,30314-4741,Human Services,Human Services,P20,0,0,0
264248963,Joy Of Life Ministries Inc,202 Warren St Se,Atlanta,GA,30317-2243,Religious,Protestant,X21,,,
261924058,Chec Pro Inc,514 Park Valley Dr Nw,Atlanta,GA,30318-6254,Human Services,Human Services,P20,0,0,0
260413396,Neighbor In Need,2735 Tupelo St Se,Atlanta,GA,30317-2925,Human Services,Human Services,P20,15300,60641,39896
263661696,Gomotion Worldwide Inc,155 Howard St Ne,Atlanta,GA,30317-1140,Religious,Religion-Related NEC,X99,0,0,0
263115194,Americas Affordable Housing Network Inc,855 Magna Carta Dr Nw,Atlanta,GA,30318-6059,Housing Shelter,Housing & Shelter NEC,L99,8921,9275,9275
262251584,Small Voices Foundation,2454 Fernleaf Ct Nw,Atlanta,GA,30318-1420,Human Services,Children & Youth Services,P30,0,0,0
264394379,Restore Life Incorporated,1974 Maywood Pl Nw,Atlanta,GA,30318-6373,Employment,Job Training,J22,0,0,0
262033846,Georgia Municipal Black Caucus,2346 Bernard Rd Nw,Atlanta,GA,30318-1169,Public Social Benefit,Government & Public Administration,W20,1127,1127,1127
260661963,Brookhaven Security Patrol Inc,4500 Club Valley Dr Ne,Atlanta,GA,30319-1064,Community Capacity Bldg,Neighborhood & Block Associations,S22,259640,128555,128555
270230104,New Hope Initiatives Inc,970 Jefferson St Nw,Atlanta,GA,30318-5236,Employment,Employment Preparation & Procurement,J20,60942,386629,386629
260338062,Madeleine Jude Brown Foundation Inc,3845 Club Dr Ne,Atlanta,GA,30319-1109,Philanthropy,Private Independent Foundations,T22,978522,133597,
260426383,Tyler Perry Foundation Inc,541 10Th St Ste 140,Atlanta,GA,30318-5713,Philanthropy,Public Foundations,T30,7563,244912,
264796828,Tony Tyler Foundation,780 Morosgo Dr Ne Unit 14366,Atlanta,GA,30324-9054,Human Services,Human Services,P20,1,1500,1500
263592175,Fallen Sparrow Foundation Inc,3338 Peachtree Rd Ne Apt 3407,Atlanta,GA,30326-1473,Human Services,Emergency Assistance,P60,27585,75996,75996
261441249,Beard-Payne Family Foundation Inc,4130 E Brookhaven Dr Ne,Brookhaven,GA,30319-2862,Philanthropy,Private Grantmaking Foundations,T20,78994,344911,
261436975,Patty And Doug Reid Family Foundation Inc,1200 Heritage Ct Nw,Atlanta,GA,30327-2727,Philanthropy,Private Independent Foundations,T22,15697388,15163688,
261437351,Rosser Shanklin Ubuntu Foundation Inc,64 W Brookhaven Dr Ne,Brookhaven,GA,30319-1143,Philanthropy,Private Grantmaking Foundations,T20,1,1,
262652947,Asian Real Estate Association Of America-Greater Atlanta Inc,3535 Peachtree Road Ste 520-648,Atlanta,GA,30326-3287,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,,,
260855565,Ironwood Charitable Foundation Inc,3715 Northside Pkwy Nw Bldg 100-500,Atlanta,GA,30327-2868,Philanthropy,Community Foundations,T31,2089,42588,
262950544,Cherokee Garden Club Community Fund Inc,2540 Arden Rd Nw,Atlanta,GA,30327-1257,Community Capacity Bldg,Fund Raising & Fund Distribution,S12,0,0,0
261529583,August Fifth Foundation Inc,605 Townsend Pl Nw,Atlanta,GA,30327-3041,Philanthropy,Private Independent Foundations,T22,586202,456956,
263935460,Thomas G Brown Family Charitable Foundation,1261 Westminster Walk Nw,Atlanta,GA,30327-1717,Philanthropy,Private Independent Foundations,T22,4888,25750,
264208009,Stop Students Talking Out Problems,2949 Cambridge Dr Sw,Atlanta,GA,30331-5417,Philanthropy,Public Foundations,T30,0,0,0
264241849,Redeem And Deliverence Outreach Ministries,4051 Southwood Circle No 914,Atlanta,GA,30331-8812,Religious,Christianity,X20,0,0,0
261477372,Reed Foundation Inc,40 Stratford Pl Ne,Atlanta,GA,30342-3956,Philanthropy,Private Independent Foundations,T22,2921458,1869878,
261372036,Shearon And Taylor Glover Foundation Inc,468 Blackland Rd Nw,Atlanta,GA,30342-4005,Philanthropy,Private Grantmaking Foundations,T20,5210382,750846,
261172656,Thunder Bay Foundation Inc,271 17Th Street Nw,Atlanta,GA,30363-6216,Philanthropy,Private Independent Foundations,T22,17320055,5965627,
261899619,Atlantic Station Civic Association Inc,271 17Th St Nw Ste 575,Atlanta,GA,30363-6207,Community Capacity Bldg,Neighborhood & Block Associations,S22,0,0,0
300082488,Marion Carlson And Rober Pinckney Tucker Jr Foundation Inc,171 17Th St Nw Ste 2100,Atlanta,GA,30363-1031,Philanthropy,Private Independent Foundations,T22,1867,0,
300017007,Stahl Family Foundation Inc,271 17Th Street Nw,Atlanta,GA,30363-6216,Philanthropy,Private Independent Foundations,T22,4327405,1063517,
270836896,Greater Springfield Baptist Church Inc,4436 Bakers Ferry Rd Sw,Atlanta,GA,30331-4502,Religious,Protestant,X21,,,
311510306,Qls Acres Inc,3060 Continental Colony Parkway,Atlanta,GA,30331-3061,Housing Shelter,Senior Citizens‰Ûª Housing & Retirement Communities,L22,5057339,682498,-158408
273502730,Release To Reunion Incorporated,335 Green Cup Ct Unit B-1,Atlanta,GA,30331-7220,Human Services,Family Services for Adolescent Parents,P45,0,0,0
271401035,Tabernacle Ruach Hakodesh Christian Ministries,133 Burre Ln Sw,Atlanta,GA,30331-3905,Religious,Protestant,X21,0,0,0
311805258,House Of Faith Christian Center Inc,101 Howell Dr Sw,Atlanta,GA,30331-4022,Religious,Christianity,X20,,,
272041631,Atlanta Heights Charter School Inc,3712 Martin Luther King Jr Dr Sw,Atlanta,GA,30331-3674,Human Services,Thrift Shops,P29,659693,5589171,5589171
272626272,Treasurechest Learning Systems,2293 Fairway Cir Sw,Atlanta,GA,30331-7103,Human Services,Children & Youth Services,P30,0,0,0
311773612,Victory Tavernacle Of Praise & Worship Inc,921 Mercury Dr Nw,Atlanta,GA,30331-3346,Religious,Christianity,X20,,,
272551967,Inner Beauty Empowerment Project,638 Providence Pl Sw,Atlanta,GA,30331-8601,Human Services,Human Services,P20,,,
300092633,Beauty For Ashes Outreach Inc,4600 Fernbank Dr Sw,Atlanta,GA,30331-7114,Human Services,Human Services,P20,0,0,0
320339117,Pamela D Franklin Cultural Center For The Performing Arts,400 Fairburn Rd Sw Apt G57,Atlanta,GA,30331-1965,Human Services,Human Services,P20,0,0,0
311694908,New Unity Missionary Baptist Church Inc,3675 Martin Luther King Jr Dr Nw,Atlanta,GA,30331-0000,Religious,Protestant,X21,,,
272148211,Reserve At Tri-Mountain Inc,8 Riverly Pl Nw,Atlanta,GA,30327-2500,Human Services,Centers to Support the Independence of Specific Populations,P80,148163,49357,49357
311679896,Anti-Prejudice Consortium Inc,3154 Northside Pkwy Nw,Atlanta,GA,30327-1555,Civil Rights,Intergroup & Race Relations,R30,4427,25598,25598
271228425,Soldiers Secret Santa Inc,2660 Old Wesley Pl Nw,Atlanta,GA,30327-1346,Human Services,Gift Distribution,P58,0,0,0
272075485,Scriptive Inc,3206 E Wood Valley Rd Nw,Atlanta,GA,30327-1522,Religious,Protestant,X21,104410,16280,16280
311575173,A Million Matters Inc,1266 W Paces Ferry Rd Nw,Atlanta,GA,30327-2306,Philanthropy,Private Independent Foundations,T22,2730,101540,101540
274387083,Khaos Foundation Inc,4406 Jett Rd Nw,Atlanta,GA,30327-3559,Philanthropy,Public Foundations,T30,2444245,62418,62418
272392652,Head Foundation,3400 Peachtree Rd Ne Ste 1015,Atlanta,GA,30326-1187,Philanthropy,Private Independent Foundations,T22,1186217,3360332,
274158174,Dan Laz Foundation Inc,40 Kenmare Hall Ne,Atlanta,GA,30324-2566,Philanthropy,Private Grantmaking Foundations,T20,407955,2107316,
274563077,Kyle Pease Foundation Inc,711 Cosmopolitan Dr Ne Unit 126,Atlanta,GA,30324-3617,Philanthropy,Named Trusts NEC,T90,20063,96637,96637
276368488,Forehand Family Foundation,1753 Pine Ridge Dr Ne,Atlanta,GA,30324-4937,Philanthropy,Private Independent Foundations,T22,953864,721210,
272402209,Livable Buckhead,3340 Peachtree Rd Ne Ste 1640,Atlanta,GA,30326-1079,Community Capacity Bldg,Economic Development,S30,8308660,4846085,4846085
272779415,Nancy Falco Fund Limited,1579 Monroe Dr Ne Ste F146,Atlanta,GA,30324-5039,Public Social Benefit,Public & Societal Benefit NEC,W99,,,
300105124,Atlanta St Patricks Parade Inc,1266 West Paces Ferry Rd Ste 615,Atlanta,GA,30327-2306,Philanthropy,Public Foundations,T30,1189,90869,90869
326139039,Woodhaven Charitable Tr,3282 Northside Pkwy Nw Ste 100,Atlanta,GA,30327-2276,Philanthropy,Private Grantmaking Foundations,T20,520009,152914,
273800561,Patricia G Pelling Foundation Inc,2137 Mckinley Rd Nw,Atlanta,GA,30318-1707,Philanthropy,Private Independent Foundations,T22,4022307,1453360,
270609349,Serenity House Of Atlanta Ministries Inc,772 Woods Dr,Atlanta,GA,30318-8390,Housing Shelter,Temporary Housing,L40,150,400195,400195
272911662,Smyrna Education Foundation Inc,3630 Peachtree Road Nw Suite 600,Atlanta,GA,30326-0000,Philanthropy,Public Foundations,T30,0,0,0
273793217,Grow Montessori School,580 Griffin St Nw,Atlanta,GA,30318-6834,Human Services,Child Day Care,P33,0,0,0
270513891,Area Non-Profit Inc,1669 Barfield Run Nw,Atlanta,GA,30318-2778,Philanthropy,Private Operating Foundations,T23,421,1,
311595187,Alice Williams Towers Inc,2283 Baker Rd Nw,Atlanta,GA,30318-6220,Housing Shelter,Housing Support,L80,2450884,333241,333241
274165605,Carters Charitable Foundation Inc,3438 Peachtree Rd,Atlanta,GA,30326-1554,Philanthropy,Single Organization Support,T11,932962,0,
320269969,Christ Liberty Family Life Center Inc,27 E Lake Dr Ne,Atlanta,GA,30317-2807,Religious,Protestant,X21,,,
300526212,Sisters & Brothers United Inc,1890 Montvallo Ter Se,Atlanta,GA,30316-2813,Human Services,Fund Raising & Fund Distribution,P12,0,0,0
300187728,The Gallery Eav Inc,490 Flat Shoals Ave Se,Atlanta,GA,30316-1900,Human Services,Children & Youth Services,P30,1,1,
326276039,Piping Industry Promotion And Employment Labor Management Coo,374 Maynard Terrace,Atlanta,GA,30316-1700,Employment,Labor Unions,J40,2022202,1248301,1248301
271111452,Georgia Supportive Housing Association Inc,660 Woodland Ave Se,Atlanta,GA,30316-1812,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
300168198,Spirit Of Love Ministries,207 Farrington Ave Se,Atlanta,GA,30315-1922,Housing Shelter,Temporary Housing,L40,0,0,0
272266271,Mission X Incorporated,226 Atlanta Ave Se,Atlanta,GA,30315-1910,Human Services,Children & Youth Services,P30,0,0,0
311840215,Second Mount Olive Baptist Church Inc,1069 Washington Heights Ter Nw,Atlanta,GA,30314-2823,Religious,Protestant,X21,,,
320241220,True Legacy Builders Inc,85 Morris Brown Dr Sw,Atlanta,GA,30314-3047,Human Services,Children & Youth Services,P30,0,0,0
320400978,Precious Jewels Learning Academy Inc,1284 Joseph E Boone Blvd Nw,Atlanta,GA,30314-2333,Human Services,Child Day Care,P33,181,196942,196942
274611084,Atlanta Public Sector Alliance,542 Moreland Ave Se,Atlanta,GA,30316-1927,Employment,Job Training,J22,0,0,0
311636865,Collegiate Property Development Company,350 Spelman Ln Sw,Atlanta,GA,30314-4395,Community Capacity Bldg,Real Estate Associations,S47,0,0,0
272168524,Terry Learning Center Foundation Inc,1040 Beckwith St Sw,Atlanta,GA,30314-3143,Human Services,Child Day Care,P33,0,0,0
311662072,New Birth Inner City Ministries Inc,759 Simpson St Nw,Atlanta,GA,30314-3800,Religious,Protestant,X21,,,
320360686,Rights 2 Life Foundation Inc,502 Pryor St Sw Unit 209,Atlanta,GA,30312-2765,Human Services,Human Services NEC,P99,0,0,0
320196623,Creative Outreach Center Inc,125 Logan St Se Apt 109,Atlanta,GA,30312-2044,Human Services,Family Services,P40,1,0,0
300147990,Westminster Christian Fellowship Inc,724 Centennial Olympic Park Dr,Atlanta,GA,30313-0000,Religious,Protestant,X21,976967,124433,124433
311778416,Georgia Building Trades Academy Inc,501 Pulliam St Sw Ste 511,Atlanta,GA,30312-2751,Employment,Job Training,J22,20170,401,401
300847295,Village Effect Foundation Inc,3100 Imperial Ln Sw,Atlanta,GA,30311-5211,Human Services,Human Services,P20,,,
311720253,Audubon Forest Neighborhood Association,911 Flamingo Dr Sw,Atlanta,GA,30311-2408,Philanthropy,Private Grantmaking Foundations,T20,0,0,0
300475567,From The Heart Church Ministries - Atlanta,1583 Westhaven Dr Sw,Atlanta,GA,30311-2640,Religious,Protestant,X21,,,
271906055,Concord Baptist Church Of Atlanta,3270 Boulder Park Dr Sw,Atlanta,GA,30311-1945,Religious,Christianity,X20,0,0,0
274667225,Atlanta Hope Center,1994 Perkerson Rd Sw,Atlanta,GA,30310-5051,Religious,Protestant,X21,,,
320371712,West End Family Life And Community Center Inc,1191 Donnelly Ave Sw,Atlanta,GA,30310-3248,Human Services,Human Services,P20,0,0,0
311761084,Mechanicsville Church Of God,703 Mcdaniel St Sw,Atlanta,GA,30310-2136,Religious,Protestant,X21,,,
271517341,Dayspring International Ministries Inc,827 Burchill St Sw,Atlanta,GA,30310-4625,Religious,Christianity,X20,,,
273107221,Talking Dollars And Sense Inc,215 Lakewood Way Ste 204A,Atlanta,GA,30315-6022,Human Services,Financial Counseling,P51,1,0,0
270509239,Phoenix Foundation Cooperative Inc,1445 Lucile Ave Sw Apt 3,Atlanta,GA,30310-1262,Human Services,Alliances & Advocacy,P01,,,
320374259,Vision Of Hope International Inc,1074 Arlington Ave Sw,Atlanta,GA,30310-3830,Religious,Protestant,X21,0,0,0
311476556,Genesis Life Center Inc,1606 S Gordon St Sw,Atlanta,GA,30310-2336,Philanthropy,Philanthropy,T99,0,0,0
311695349,West Hunter Street Baptist Church,1040 Ralph David Abernathy Blvd Sw,Atlanta,GA,30310-1812,Religious,Protestant,X21,,,
271882056,West End Business Education & Development Center,1285 Ralph David Abernathy Blvd Sw,Atlanta,GA,30310-1753,Employment,Employment Preparation & Procurement,J20,0,0,0
274311829,Connecting Communities And Families,970 Martin Luther King Jr Dr,Atlanta,GA,30314-2962,Human Services,Neighborhood Centers,P28,0,0,0
270670011,Lisa Slay Street Foundation Inc,1170 Peachtree St Ne Ste 100,Atlanta,GA,30309-7689,Philanthropy,Private Grantmaking Foundations,T20,47274,27969,
274036345,Montgomery Foundation Ii Inc,1230 Peachtree St Ne Ste 3100,Atlanta,GA,30309-3550,Philanthropy,Private Grantmaking Foundations,T20,5061787,1040917,
300012588,Limmud Atlanta & Southeast,1440 Spring St Nw,Atlanta,GA,30309-2832,Human Services,Ethnic & Immigrant Centers,P84,88879,152474,152474
311672369,Samaritan Housing Foundation Iii Inc,1201 West Peachtree St Ste 3250,Atlanta,GA,30309-3470,Housing Shelter,Senior Citizens‰Ûª Housing & Retirement Communities,L22,1,1,
311672366,Samaritan Housing Foundation Ii Inc,1201 West Peachtree St Ste 3250,Atlanta,GA,30309-3470,Housing Shelter,Senior Citizens‰Ûª Housing & Retirement Communities,L22,1,0,0
275432193,Conaway Foundation For Cosmetic Prosthetics Inc,75 14Th St Ne Ste 3000,Atlanta,GA,30309-7605,Philanthropy,Public Foundations,T30,0,0,0
311644805,Samaritan Housing Foundation Inc,1201 W Peachtree Street Ste 3250,Atlanta,GA,30309-3470,Human Services,Supportive Housing for Older Adults,P75,177088122,404984,
275486698,Fleetwood Foundation Inc,999 Peachtree St Ne Ste 2300,Atlanta,GA,30309-4416,Philanthropy,Private Independent Foundations,T22,17345741,2662203,
311634912,Quality Housing Foundation I Inc,1201 W Peachtree St Nwste 3250,Atlanta,GA,30309-3470,Housing Shelter,Housing Development,L20,23636,106480,
270728201,Zaban Couples Center Inc,1605 Peachtree St Ne,Atlanta,GA,30309-2433,Housing Shelter,Homeless Shelters,L41,184691,329202,329202
271141789,Art4thehomeless,44 Peachtree Pl Nw Unit 531,Atlanta,GA,30309-5409,Housing Shelter,Fund Raising & Fund Distribution,L12,0,0,0
273284697,American Disability Foundation Inc,1100 Peachtree St Ne Ste 200,Atlanta,GA,30309-4503,Human Services,Human Services,P20,240671,310923,310923
273166227,Volunteers In Dental Service Inc,100 Biscayne Dr Nw Apt C2,Atlanta,GA,30309-1050,Philanthropy,Public Foundations,T30,0,0,0
311520709,Georgia Campaign For Adolescent Power And Potential Inc,1718 Peachtree St Nw Ste 465,Atlanta,GA,30309-2469,Human Services,Children & Youth Services,P30,1815729,4471231,4253490
274343400,Baruch Hall Family Foundation Inc,75 5Th St Nw Ste 1050,Atlanta,GA,30308-1020,Philanthropy,Private Independent Foundations,T22,506252,1260,
274710899,Fourth Ward Alliance Neighborhood Association Inc,660 Glen Iris Dr Ne Apt 409,Atlanta,GA,30308-2870,Community Capacity Bldg,Neighborhood & Block Associations,S22,0,0,0
271448263,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271456901,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
274432543,Mc Foundation Inc,652 Angier Ave Ne,Atlanta,GA,30308-2904,Religious,Protestant,X21,133241,1066755,1066755
271447995,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271447883,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271471726,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
272330266,Black Men S Xchange National Inc,120 Ralph Mcgill Blvd Ne Apt 1605,Atlanta,GA,30308-3346,Community Capacity Bldg,Men‰Ûªs Service Clubs,S82,68250,163358,163358
271471568,Georigia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271270938,Athenas Warehouse Inc,212 Flora Ave Ne,Atlanta,GA,30307-2716,Human Services,Human Services,P20,0,0,0
271445777,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271633484,Life Church Inc,344 Candler Park Dr Ne,Atlanta,GA,30307-2115,Religious,Christianity,X20,,,
271458075,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271471828,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
272452734,Whosnextfoundationorg Inc,350 Brooks Ave Ne,Atlanta,GA,30307-2140,Philanthropy,Fund Raising & Fund Distribution,T12,0,0,0
271484901,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
271452953,Georgia Optometric Association Inc,400 W Peachtree St Nw Ste 201,Atlanta,GA,30308-3568,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
300496130,Congress For The New Urbanism Atlanta Inc,426 Sinclair Ave Ne,Atlanta,GA,30307-1931,Public Social Benefit,Government & Public Administration,W20,0,0,0
276097607,Harry E Canaday Fund,835 Ashland Ave Ne,Atlanta,GA,30307-2403,Philanthropy,Private Independent Foundations,T22,3554838,2808049,
273855537,Georgia Biosciences Organization,1199 Euclid Ave Ne,Atlanta,GA,30307-1509,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,6979,55500,55500
272060423,East Lake Farmers Market Inc,600 Peachtree St Ne Ste 2400,Atlanta,GA,30308-2259,Food,Agricultural Programs,K20,0,0,0
273786742,Alliance Building Corp,245 N Highland Avenue Ne,Atlanta,GA,30307-1936,Community Capacity Bldg,Community & Neighborhood Development,S20,0,0,0
270852084,Intown Collaborative Ministries,1410 Ponce De Leon Ave Ne,Atlanta,GA,30307-1616,Human Services,Personal Social Services,P50,109384,103248,87800
274116748,Shearith Israel Shelter Inc,1180 University Dr Ne,Atlanta,GA,30306-2560,Housing Shelter,Temporary Housing,L40,150137,90312,89711
271137309,Global Evangelistic Ministries Inc,1956 Lenox Rd Ne,Atlanta,GA,30306-3035,Religious,Christianity,X20,0,0,0
276336037,Feidler Family Foundation,27 Chatham Rd Nw,Atlanta,GA,30305-1101,Philanthropy,Private Independent Foundations,T22,1086674,191683,
273107733,Schoolyard Sprouts Inc,1436 Lanier Pl Ne,Atlanta,GA,30306-3238,Philanthropy,Public Foundations,T30,0,0,0
273293475,Free Fabrik,3104 E Shadowlawn Ave Ne,Atlanta,GA,30305-2406,Human Services,Thrift Shops,P29,26668,116103,116103
306169218,The T Ruben Jones Foundation,125 W Wesley Rd Nw,Atlanta,GA,30305-3525,Philanthropy,Private Independent Foundations,T22,546159,1,
276984484,Pirrung Charitable Tr,3425 Tuxedo Rd Nw,Atlanta,GA,30305-1050,Philanthropy,Private Grantmaking Foundations,T20,82064,27,
311830110,Voices Of Hope Inc,3325 Piedmont Rd Ne Unit 2902,Atlanta,GA,30305-4821,Philanthropy,Private Independent Foundations,T22,2296999,640012,
271498037,Spring Foundation Inc,3060 Peachtree Rd Nw Ste 1415,Atlanta,GA,30305-2485,Philanthropy,Private Independent Foundations,T22,66432322,18261972,
272303339,Tedx Peachtree Inc,3423 Piedmont Road Ne,Atlanta,GA,30305-1754,Public Social Benefit,Leadership Development,W70,22023,42244,42244
320023672,United Advanced Practice Registered Nurses Of Georgia,3277 Roswell Road Ne,Atlanta,GA,30305-1835,Community Capacity Bldg,Boards of Trade,S46,40080,26131,26131
270850562,Adoption Dream Foundation Inc,2870 Normandy Dr Nw,Atlanta,GA,30305-2853,Human Services,Adoption,P31,0,0,0
272144659,Punktorah Inc,3530 Piedmont Rd Ne Apt 2B,Atlanta,GA,30305-1523,Religious,Judaism,X30,8227,54343,53834
300641882,The Believers House Inc,256 Memorial Dr Sw,Atlanta,GA,30303-3743,Religious,Protestant,X21,,,
274187308,Georgiaforward Inc,50 Hurt Plz Se Ste 110,Atlanta,GA,30303-2914,Civil Rights,Research Institutes & Public Policy Analysis,R05,4731,70750,70750
274240584,Rotary International Convention Atlanta 2017 Host Committee Inc,100 Edgewood Ave Ne Ste 508,Atlanta,GA,30303-3068,Community Capacity Bldg,Community Service Clubs,S80,583656,294161,294161
274424115,Partnership For Southern Equity,260 Peachtree Street,Atlanta,GA,30303-1202,Religious,Christianity,X20,26038,168118,168118
320017011,Atlanta Victim Assistance Inc,150 Garnett St Sw,Atlanta,GA,30303-3612,Human Services,Victims‰Ûª Services,P62,513273,382999,382999
300637732,Georgia Environmental Loan Acquisition Corp,233 Peachtree St Ne Ste 800,Atlanta,GA,30303-1506,Public Social Benefit,Public & Societal Benefit NEC,W99,205315776,6467775,6467775
320262061,The Homestead Foundation Inc,50 Hurt Plz Se Ste 900,Atlanta,GA,30303-2936,Philanthropy,Private Independent Foundations,T22,1231872,328182,
311814266,Kauffmann Family Foundation Inc,2724 Peachtree Road Nw,Atlanta,GA,30305-2978,Philanthropy,Corporate Foundations,T21,7717964,629039,
275060725,Atlanta Dream 4 Youth Foundation Inc,101 Marietta St Nw Ste 200,Atlanta,GA,30303-2724,Human Services,Human Services,P20,,,
311616463,Living Room Inc,100 Edgewood Ave Ne Ste 725,Atlanta,GA,30303-3069,Housing Shelter,Housing Search Assistance,L30,697506,2144088,2144088
273411315,Commerce Club Foundation Inc,191 Peachtree St Ne 49Th Flr,Atlanta,GA,30303-1740,Human Services,Fund Raising & Fund Distribution,P12,0,0,0
273598557,Metro Atlanta Voter Education Network Inc,235 Andrew Young International Blvd,Atlanta,GA,30303-2718,Civil Rights,Voter Education & Registration,R40,0,10351,10351
